Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country
39.0, State-gov,13.0, Never-married, Adm-clerical, Not-in-family, White, Male,2174.0,0.0,40.0, United-States
50.0, Self-emp-not-inc,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,13.0, United-States
38.0, Private,9.0, Divorced, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States
53.0, Private,7.0, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0.0,0.0,40.0, United-States
28.0, Private,13.0, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0.0,0.0,40.0, Cuba
37.0, Private,14.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,40.0, United-States
49.0, Private,5.0, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0.0,0.0,16.0, Jamaica
52.0, Self-emp-not-inc,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,45.0, United-States
31.0, Private,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,14084.0,0.0,50.0, United-States
42.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178.0,0.0,40.0, United-States
37.0, Private,10.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,80.0, United-States
30.0, State-gov,13.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, India
23.0, Private,13.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,30.0, United-States
32.0, Private,12.0, Never-married, Sales, Not-in-family, Black, Male,0.0,0.0,50.0, United-States
40.0, Private,11.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, ?
34.0, Private,4.0, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0.0,0.0,45.0, Mexico
25.0, Self-emp-not-inc,9.0, Never-married, Farming-fishing, Own-child, White, Male,0.0,0.0,35.0, United-States
32.0, Private,9.0, Never-married, Machine-op-inspct, Unmarried, White, Male,0.0,0.0,40.0, United-States
38.0, Private,7.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States
43.0, Self-emp-not-inc,14.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,45.0, United-States
40.0, Private,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,60.0, United-States
54.0, Private,9.0, Separated, Other-service, Unmarried, Black, Female,0.0,0.0,20.0, United-States
35.0, Federal-gov,5.0, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0.0,0.0,40.0, United-States
43.0, Private,7.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,2042.0,40.0, United-States
59.0, Private,9.0, Divorced, Tech-support, Unmarried, White, Female,0.0,0.0,40.0, United-States
56.0, Local-gov,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States
19.0, Private,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, United-States
54.0, ?,10.0, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0.0,0.0,60.0, South
39.0, Private,9.0, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,80.0, United-States
